a'ba 阿坝
feng'huang 凤凰
feng'jie 奉节
feng'kai 封开
feng'nan 丰南
feng'ning 丰宁
feng'qing 凤庆
feng'qiu 封丘
feng'run 丰润
feng'shan 凤山
feng'shun 丰顺
feng'tai 丰台
feng'tai 凤台
feng'xian 丰县
feng'xian 凤县
feng'xian 奉贤
feng'xiang 凤翔
feng'xin 奉新
feng'yang 凤阳
feng'zhen 丰镇
fo'gang 佛冈
fo'ping 佛坪
fo'shan 佛山
fu'an 福安
fu'cheng 阜城
fu'chuan 富川
fu'ding 福鼎
fu'feng 扶风
fu'gong 福贡
fu'gou 扶沟
fu'gu 府谷
fu'hai 福海
fu'jian 福建
fu'jin 富锦
fu'kang 阜康
fu'la'er'ji 富拉尔基
fu'liang 浮梁
fu'ling 涪陵
fu'min 富民
fu'nan 阜南
fu'ning 阜宁
fu'ning 富宁
fu'ning 抚宁
fu'ping 阜平
fu'ping 富平
fu'qing 福清
fu'quan 福泉
fu'shan 浮山
fu'shan 福山
fu'shun 富顺
fu'shun'shi 抚顺市
fu'shun'xian 抚顺县
fu'song 抚松
fu'sui 扶绥
fu'xian 富县
fu'xin'meng'gu'zu'zi'zhi'xian 阜新蒙古族自治县
fu'xin'shi 阜新市
fu'yang 阜阳
fu'yang 富阳
fu'yu 富裕
fu'yu 扶余
fu'yuan 富源
fu'yuan 抚远
fu'yun 富蕴
fu'zhou 抚州
fu'zhou 福州
ga'er 噶尔
ga'shi 伽师
gai'ze 改则
gai'zhou 盖州
gan'de 甘德
gan'gu 甘谷
gan'luo 甘洛
gan'nan 甘南
gan'quan 甘泉
gan'su 甘肃
gan'tang'zhen 甘棠镇
gan'xian 赣县
gan'yu 赣榆
gan'zhou 赣州
gan'zi 甘孜
gang'ba 岗巴
gang'cha 刚察
gao'an 高安
gao'bei'dian 高碑店
gao'cheng 藁城
gao'chun 高淳
gao'gang 高港
gao'lan 皋兰
gao'ling 高陵
gao'mi 高密
gao'ming 高明
gao'ping 高平
gao'qing 高青
gao'tai 高台
gao'tang 高唐
gao'xian 高县
gao'xiong'shi 高雄市
gao'xiong'xian 高雄县
gao'yang 高阳
gao'yao 高要
gao'yi 高邑
gao'you 高邮
gao'zhou 高州
ge'er'mu 格尔木
ge'ji 革吉
ge'jiu 个旧
gen'he 根河
geng'ma 耿马
gong'an 公安
gong'bu'jiang'da 工布江达
gong'chang'ling 弓长岭
gong'cheng 恭城
gong'ga 贡嘎
gong'he 共和
gong'jue 贡觉
gong'liu 巩留
gong'shan 贡山
gong'xian 珙县
gong'yi 巩义
gong'zhu'ling 公主岭
gu'an 固安
gu'cheng 谷城
gu'cheng 故城
gu'jiao 古交
gu'lang 古浪
gu'lin 古蔺
gu'shi 固始
gu'tian 古田
gu'xian 古县
gu'yang 固阳
gu'ye 古冶
gu'yuan 固原
gu'yuan 沽源
gu'zhang 古丈
gu'zhen 固镇
guan'ling 关岭
guan'nan 灌南
guan'tao 馆陶
guan'xian 冠县
guan'yang 灌阳
guan'yun 灌云
guang'an 广安
